from,to,prob,spc,forward_from_sources,backward_to_sinks
"('产生', '知识重构类')","('减小', '知识重构类')",0.5,150,2,75
"('处理', '知识重构类')","('采用', '资源获取类')",0.5,150,2,75
"('根据', '资源获取类')","('分析', '知识重构类')",0.25,148,4,37
"('建立', '知识规划类')","('带领', '知识协作类')",0.2,144,72,2
"('选择', '知识规划类')","('关注', '知识规划类')",0.25,142,1,142
"('关注', '知识规划类')","('转化', '知识重构类')",1.0,142,1,142
"('改进', '知识重构类')","('计算', '知识重构类')",0.3333333333333333,142,2,71
"('发现', '知识重构类')","('发表', '成果发布类')",0.25,132,22,6
"('比较', '知识整合类')","('学习', '知识整合类')",1.0,115,1,115
"('跟随', '知识协作类')","('学习', '知识整合类')",1.0,115,1,115
"('委托', '知识协作类')","('测验', '知识重构类')",1.0,100,1,100
"('出现', '知识重构类')","('委托', '知识协作类')",1.0,100,1,100
"('察觉', '知识规划类')","('试验', '知识重构类')",0.5,99,1,99
"('测验', '知识重构类')","('试验', '知识重构类')",0.5,99,1,99
"('参加', '知识重构类')","('试验', '知识重构类')",0.5,99,1,99
"('考察', '资源获取类')","('看见', '知识重构类')",1.0,82,1,82
"('支持', '成果影响类')","('参加', '知识协作类')",1.0,81,1,81
"('认为', '知识重构类')","('引起', '知识重构类')",0.5,79,1,79
"('观测', '知识重构类')","('发现', '知识重构类')",0.5,79,1,79
"('参加', '知识重构类')","('发现', '知识重构类')",0.5,79,1,79
"('反对', '知识重构类')","('发现', '知识重构类')",1.0,79,1,79
"('指出', '知识重构类')","('处理', '知识重构类')",0.5,76,1,76
"('撰写', '知识重构类')","('分享', '知识协作类')",1.0,76,1,76
"('分享', '知识协作类')","('处理', '知识重构类')",1.0,76,1,76
"('参加', '知识协作类')","('采用', '资源获取类')",0.5,75,1,75
"('了解', '知识重构类')","('采用', '资源获取类')",1.0,75,1,75
"('表明', '知识重构类')","('分析', '知识重构类')",0.5,74,2,37
"('建立', '知识规划类')","('建立', '知识重构类')",0.2,72,72,1
"('建立', '知识规划类')","('开展', '知识重构类')",0.2,72,72,1
"('认为', '知识重构类')","('计算', '知识重构类')",0.5,71,1,71
"('根据', '知识整合类')","('计算', '知识重构类')",1.0,71,1,71
"('转化', '知识重构类')","('理清', '知识重构类')",0.5,71,1,71
"('转化', '知识重构类')","('计算', '知识重构类')",0.5,71,1,71
"('理清', '知识重构类')","('计算', '知识重构类')",1.0,71,1,71
"('抽象', '知识重构类')","('计算', '知识重构类')",1.0,71,1,71
"('组织', '知识协作类')","('开展', '知识重构类')",0.25,70,70,1
"('分析', '知识重构类')","('考虑', '知识重构类')",0.1111111111111111,68,68,1
"('估计', '知识重构类')","('考虑', '知识重构类')",0.3333333333333333,68,68,1
"('分析', '知识重构类')","('估计', '知识重构类')",0.2222222222222222,68,68,1
"('获取', '知识重构类')","('考虑', '知识重构类')",0.1428571428571428,66,66,1
"('计算', '知识重构类')","('考虑', '知识重构类')",0.1428571428571428,60,60,1
"('计算', '知识重构类')","('建立', '知识重构类')",0.07142857142857142,60,60,1
"('试验', '知识重构类')","('讨论', '知识协作类')",0.1111111111111111,51,17,3
"('选择', '知识规划类')","('求解', '知识重构类')",0.25,47,1,47
"('提供', '资源获取类')","('证明', '成果影响类')",0.3333333333333333,42,14,3
"('提供', '知识重构类')","('证明', '知识重构类')",0.3333333333333333,40,4,10
"('汇报', '知识重构类')","('表明', '知识重构类')",1.0,38,1,38
"('完成', '成果发布类')","('表明', '知识重构类')",1.0,38,1,38
"('求解', '知识重构类')","('分析', '知识重构类')",0.5,37,1,37
"('拍摄', '知识重构类')","('分析', '知识重构类')",1.0,37,1,37
"('记录', '知识重构类')","('拍摄', '知识重构类')",1.0,37,1,37
"('采用', '资源获取类')","('决定', '知识规划类')",0.2,32,16,2
"('设计', '知识重构类')","('提供', '资源获取类')",0.25,24,6,4
"('提出', '知识规划类')","('提供', '资源获取类')",0.3333333333333333,24,6,4
"('发现', '知识重构类')","('考虑', '知识重构类')",0.125,22,22,1
"('发现', '知识重构类')","('说明', '知识重构类')",0.125,22,22,1
"('看见', '知识重构类')","('获取', '知识重构类')",0.5,21,3,7
"('决定', '知识规划类')","('研究', '知识重构类')",0.2,20,20,1
"('学习', '知识整合类')","('注重', '知识规划类')",0.3333333333333333,20,2,10
"('注重', '知识规划类')","('加强', '知识协作类')",1.0,20,2,10
"('加强', '知识协作类')","('组织', '知识协作类')",1.0,20,2,10
"('决定', '知识规划类')","('研制', '知识重构类')",0.4,20,20,1
"('讨论', '知识重构类')","('整理', '知识整合类')",1.0,18,1,18
"('获取', '成果影响类')","('总结', '知识整合类')",0.5,18,3,6
"('试验', '知识重构类')","('说明', '知识重构类')",0.1111111111111111,17,17,1
"('试验', '知识重构类')","('观察', '知识重构类')",0.2222222222222222,17,17,1
"('引起', '知识重构类')","('提出', '知识规划类')",0.5,16,4,4
"('指导', '知识协作类')","('带领', '知识协作类')",0.3333333333333333,16,8,2
"('采用', '资源获取类')","('研制', '知识重构类')",0.1,16,16,1
"('采用', '资源获取类')","('观察', '知识重构类')",0.2,16,16,1
"('认为', '成果影响类')","('开辟', '成果影响类')",1.0,15,1,15
"('提供', '资源获取类')","('提出', '知识重构类')",0.3333333333333333,14,14,1
"('汇报', '成果发布类')","('发表', '成果发布类')",1.0,12,2,6
"('确定', '知识重构类')","('递交', '知识协作类')",1.0,12,2,6
"('判断', '知识重构类')","('确定', '知识重构类')",0.5,12,2,6
"('整理', '知识整合类')","('撰写', '成果发布类')",0.5,12,1,12
"('递交', '知识协作类')","('汇报', '成果发布类')",1.0,12,2,6
"('求解', '知识重构类')","('证明', '知识重构类')",0.5,10,1,10
"('列举', '知识重构类')","('比较', '知识重构类')",1.0,10,1,10
"('负责', '知识规划类')","('建立', '知识规划类')",0.3333333333333333,9,1,9
"('制定', '知识规划类')","('奠定', '成果影响类')",1.0,9,1,9
"('奠定', '成果影响类')","('培养', '知识规划类')",1.0,9,1,9
"('掌握', '知识重构类')","('提供', '成果影响类')",1.0,9,1,9
"('达到', '成果影响类')","('安排', '知识规划类')",1.0,9,3,3
"('培养', '知识规划类')","('建立', '知识规划类')",1.0,9,1,9
"('提供', '成果影响类')","('制定', '知识规划类')",1.0,9,1,9
"('确保', '知识规划类')","('获取', '资源获取类')",1.0,8,2,4
"('开辟', '成果影响类')","('列为', '成果影响类')",0.5,8,1,8
"('解决', '知识重构类')","('提供', '资源获取类')",0.5,8,2,4
"('控制', '知识重构类')","('提出', '知识规划类')",0.5,8,2,4
"('列为', '成果影响类')","('评为', '成果影响类')",1.0,8,1,8
"('安排', '知识规划类')","('带领', '知识协作类')",0.5,8,4,2
"('确定', '知识规划类')","('确保', '知识规划类')",0.5,8,2,4
"('中止', '知识重构类')","('改造', '知识重构类')",1.0,7,1,7
"('继续', '知识重构类')","('获取', '知识重构类')",1.0,7,1,7
"('校正', '知识重构类')","('获取', '知识重构类')",1.0,7,1,7
"('出版', '成果发布类')","('选择', '成果影响类')",1.0,7,1,7
"('选择', '知识重构类')","('分离', '知识重构类')",1.0,7,1,7
"('分离', '知识重构类')","('中止', '知识重构类')",1.0,7,1,7
"('开辟', '成果影响类')","('获取', '成果影响类')",0.5,7,1,7
"('选择', '成果影响类')","('获取', '成果影响类')",1.0,7,1,7
"('完成', '知识重构类')","('控制', '知识重构类')",1.0,7,1,7
"('排除', '知识重构类')","('获取', '知识重构类')",1.0,7,1,7
"('明确', '知识规划类')","('控制', '知识重构类')",0.5,7,1,7
"('评为', '成果影响类')","('获取', '成果影响类')",0.5,7,1,7
"('改造', '知识重构类')","('继续', '知识重构类')",1.0,7,1,7
"('控制', '知识重构类')","('达到', '成果影响类')",0.5,6,2,3
"('投稿', '成果发布类')","('发表', '成果发布类')",1.0,6,1,6
"('说明', '知识协作类')","('吸引', '成果影响类')",0.5,6,2,3
"('参加', '知识协作类')","('发表', '成果发布类')",0.5,6,1,6
"('要求', '知识规划类')","('提出', '知识协作类')",1.0,6,1,6
"('修订', '知识重构类')","('发表', '成果发布类')",1.0,6,1,6
"('召开', '知识协作类')","('说明', '知识协作类')",1.0,6,1,6
"('提出', '知识协作类')","('说明', '知识协作类')",1.0,6,1,6
"('设计', '知识重构类')","('研制', '知识重构类')",0.25,6,6,1
"('整理', '知识整合类')","('发表', '成果发布类')",0.5,6,1,6
"('应邀', '知识协作类')","('讲课', '知识协作类')",1.0,6,1,6
"('担任', '知识协作类')","('撰写', '知识整合类')",1.0,6,1,6
"('吸引', '成果影响类')","('旁听', '知识协作类')",1.0,6,2,3
"('采用', '知识重构类')","('证明', '成果影响类')",0.3333333333333333,6,2,3
"('旁听', '知识协作类')","('讨论', '知识协作类')",1.0,6,2,3
"('起到', '成果影响类')","('发表', '成果发布类')",1.0,6,1,6
"('说明', '知识协作类')","('讨论', '知识协作类')",0.5,6,2,3
"('撰写', '知识整合类')","('讲课', '知识协作类')",1.0,6,1,6
"('引用', '成果影响类')","('起到', '成果影响类')",1.0,6,1,6
"('递交', '成果发布类')","('提出', '成果发布类')",1.0,5,1,5
"('获取', '资源获取类')","('决定', '知识规划类')",0.5,4,2,2
"('获取', '资源获取类')","('带领', '知识协作类')",0.5,4,2,2
"('安排', '知识规划类')","('研究', '知识重构类')",0.5,4,4,1
"('观测', '知识重构类')","('讨论', '知识协作类')",0.5,3,1,3
"('承认', '成果影响类')","('采用', '成果影响类')",1.0,3,1,3
"('提高', '知识重构类')","('合作', '知识协作类')",0.5,3,3,1
"('获取', '成果影响类')","('成为', '成果影响类')",0.5,3,3,1
"('采用', '成果影响类')","('证明', '成果影响类')",1.0,3,1,3
"('担任', '知识规划类')","('安排', '知识规划类')",0.5,3,1,3
"('合作', '知识协作类')","('测量', '知识重构类')",1.0,3,3,1
"('研制', '成果发布类')","('达到', '成果影响类')",1.0,3,1,3
"('担任', '知识规划类')","('带领', '知识协作类')",0.5,2,1,2
"('学习', '知识整合类')","('参加', '知识整合类')",0.3333333333333333,2,2,1
"('处理', '知识重构类')","('研究', '知识重构类')",0.5,2,2,1
"('参加', '知识整合类')","('具有', '知识整合类')",1.0,2,2,1
"('改进', '知识重构类')","('成功', '成果影响类')",0.3333333333333333,2,2,1
"('具有', '知识整合类')","('研究', '知识重构类')",1.0,2,2,1
"('介绍', '知识协作类')","('决定', '知识规划类')",1.0,2,1,2
"('采用', '知识重构类')","('获取', '成果发布类')",0.3333333333333333,2,2,1
"('相符', '知识重构类')","('决定', '知识规划类')",1.0,2,1,2
"('表明', '知识重构类')","('研究', '知识重构类')",0.5,2,2,1
"('成功', '成果影响类')","('排除', '成果影响类')",1.0,2,2,1
"('选择', '知识规划类')","('提出', '知识重构类')",0.25,1,1,1
"('测验', '知识重构类')","('添加', '知识重构类')",0.5,1,1,1
"('认为', '知识协作类')","('测量', '知识重构类')",1.0,1,1,1
"('明确', '知识规划类')","('考虑', '知识重构类')",0.5,1,1,1
"('假设', '知识重构类')","('研究', '知识重构类')",1.0,1,1,1
"('出现', '成果影响类')","('获取', '成果发布类')",1.0,1,1,1
"('查阅', '知识整合类')","('发现', '知识整合类')",1.0,1,1,1
"('推荐', '知识重构类')","('研究', '知识重构类')",1.0,1,1,1
"('发现', '知识整合类')","('研究', '知识重构类')",1.0,1,1,1
"('了解', '知识整合类')","('准备', '知识规划类')",1.0,1,1,1
"('结合', '知识重构类')","('观察', '知识重构类')",1.0,1,1,1
"('评为', '成果影响类')","('成为', '成果影响类')",0.5,1,1,1
"('磨制', '知识重构类')","('观察', '知识重构类')",1.0,1,1,1
"('开发', '知识重构类')","('观察', '知识重构类')",1.0,1,1,1
"('生长', '资源获取类')","('测量', '知识重构类')",1.0,1,1,1
"('研究', '知识规划类')","('分成', '知识规划类')",1.0,1,1,1
"('建议', '知识规划类')","('研究', '知识重构类')",1.0,1,1,1
"('准备', '知识规划类')","('观察', '知识重构类')",1.0,1,1,1
"('察觉', '知识规划类')","('查阅', '知识整合类')",0.5,1,1,1
"('添加', '知识重构类')","('测量', '知识重构类')",1.0,1,1,1
"('分成', '知识规划类')","('生长', '资源获取类')",1.0,1,1,1
